a,b,c
-6.477233155952162e6,-1.799768322997583e6,-9.010432292634815e6
564057.6370950502,4.097455743487632e6,1.0304134638922326e7
-4.006832706415326e6,7.983956675824129e6,-7.096152341612637e6
4.229263748074221e6,-1.0279875493873931e7,892319.9965846345
-3.207384858471848e6,3.1261776726438846e6,989894.6383155285
-402467.2828756673,400954.5705226546,3.3992023327667112e6
2.0837194249582738e6,3.0346033642037245e6,8.590086948306764e6
-4.446028329919637e6,4.0840257941349866e6,-6.320976537289506e6
-5.641323171342979e6,-7.3291169247239325e6,3.7378206191156e6
2.286665199420702e6,-1.0355487864573263e6,3.3167954848787626e6
-4.5044322065252755e6,-763821.7656762714,-2.0235985113446359e6
-399670.010515473,-7.729144750213952e6,-1.9447266185635037e6
-6.758683298609419e6,-2.611279696508811e6,-3.516804483271627e6
-1.7362303960488057e6,1.7690235800726777e6,8.290808311854842e6
-6.522147740699662e6,-5.203615119131256e6,4.947699292137598e6
5.0016761854457995e6,-1.8295404890925903e6,3.09331651164281e6
-6.85055065067685e6,-2.2147564997477266e6,-1.041209868148947e6
600010.9806374371,-2.94075795018956e6,5.148421119279132e6
-1.3033872876902577e7,-1.825436356112767e6,-8.027808947641705e6
8.128724940225042e6,-2.510956148012518e6,-6.586933867576538e6
-9.670152797544384e6,-3.6569089318496585e6,6.850941936534082e6
-2.395505128359497e6,-548083.0166183638,-4.70371265561207e6
4.1532107958986466e6,3.2088342258578134e6,5.931274188985531e6
301807.0201880069,-3.909125599992799e6,477332.6217866583
122319.54887972046,2.873363030546469e6,1.2287376499194596e6
2.2577842280757036e6,-58338.51619807793,-8.99408590317669e6
-6.783309492679853e6,-1.9447832702149013e6,-4.507943123237047e6
-2.0309623234420686e6,6.525670338163328e6,-5.926407336335222e6
3.7839328683080524e6,-3.367183491621521e6,6.135818032987105e6
3.114489732781743e6,8.562183088286085e6,-6.880444210839863e6
-489086.3886412536,2.1369517092056475e6,2.78784201314346e6
-1.335039995542578e6,-309927.8374663982,2.65534334028769e6
-6.4564588169671055e6,1.005846612401747e6,-1.0864362670499425e7
-3.5453138659666376e6,1.5643006722847952e6,-3.57940190306203e6
2.439947754791689e6,763567.025614462,-6.508271364342597e6
-2.7140416191934245e6,111382.45228273877,2.056902384632276e6
-6.199335558887947e6,516067.6610439345,6.6805625781178465e6
1.1380018552025348e7,-3.689824245443369e6,-1.0693589255493922e7
2.6753097150876955e6,-829401.9644896047,-475029.64143974846
2.2757706434031953e6,645074.7956407402,4.381790510677128e6
809611.3373161138,-6.849030297919875e6,824055.0040143359
6.101756604180944e6,-3.328284723030683e6,3.2403194450654895e6
427009.4533984659,-425075.46765545895,912446.0090971004
-1.8924079680670071e6,-3.5846269362267535e6,224793.88478661198
3.617259846077146e6,3.4542220917646145e6,-8.28002908245649e6
5.871314586653399e6,-3.5583106902917298e6,1.054981578852975e7
-1.012015064244412e6,-1.6730113698982724e6,-1.0131243515573181e6
-1.284694036226181e7,-5.1974745015119985e6,-5.540604314132508e6
-8.120433682502439e6,-680456.6011566166,-1.855842469680808e6
-7.30672157956058e6,-774615.5424985957,-1.0574000527959266e6
1.4088332941312036e6,2.8825624571391335e6,-5.119128926394676e6
-3.2372534428970036e6,-1.1361418765944121e6,-8.204086948705966e6
2.597837841596758e6,7.487023116236355e6,317301.09266083763
-3.7268867449942487e6,5.517439454806021e6,548848.9473532396
-5.08350622647706e6,-339701.9867153761,-3.433054336614186e6
2.2226090507023567e6,-410531.9915477332,-6.075552553335872e6
-2.174558367607692e6,-4.796427951669391e6,5.239281050325406e6
1.9527744133647112e6,9.410100524940617e6,-837764.9724065699
-5.343878959041049e6,209553.1984660859,3.6285446525964397e6
-2.8887100425768024e6,8.84297100172374e6,1.5078665196899988e6
3.3016740175858242e6,-7.079057976889336e6,4.78197012978882e6
-377458.31759367784,5.602858012865998e6,9.942844641248412e6
8.517216282836048e6,132281.51517733518,3.3466184858475206e6
-6.168742368028858e6,5.061624888600322e6,-1.175039945054884e7
-3.771500434757026e6,1.8015633064764373e6,413204.9528253326
353783.6996127237,-3.84730127049289e6,6.240216045499995e6
-1.609973956765833e6,-8.634246969196916e6,-149538.44310152522
-2.669182957221978e6,-6.090888761899485e6,-2.423505187045521e6
7.792021293095961e6,2.671723548768905e6,-2.784058954707078e6
-1.2624198148323405e6,1.0862849216090892e7,-4.785787849267321e6
4.745310956857902e6,-1.222999989866969e6,-6.276990147129903e6
710608.4260394574,-646092.1748012289,-502171.94876627537
4.1722753713149363e6,-5.030781269724309e6,-3.7884890100738825e6
2.26676272763112e6,-4.662778398011512e6,-8.922999185388401e6
673971.5378126164,-4.568813017561487e6,-1.9492337186863665e6
-1.6502168477248722e6,-1.9084382919650201e6,1.1081101492430193e7
-8.936549978269974e6,965003.2959776013,4.670338533045297e6
-149911.0966499267,1.0076189495574353e6,-1.0672043317512933e6
2.5041343384885113e6,852750.8853801887,9.942419333103605e6
-804729.0083183683,-3.355965186681597e6,5.2349692604745375e6
1.3553989100098496e6,1.3460340326768945e6,-269869.7365516727
-8.739175820059266e6,-1.3811395310168864e7,3.9485988374835784e6
-5.43176872227076e6,-2.9168259110164084e6,-6.3386366902823765e6
-3.0134430378131005e6,-8.0823703494308805e6,2.3491717802029504e6
-4.0304374503728044e6,-1.1974547291237727e7,-106207.71255782887
854535.1778120946,-1.2513075425039793e6,1.7990650161563305e6
1.4437555142322974e6,9.253412397461982e6,4.873642423897258e6
4.089805923563764e6,-5.830293522301473e6,5.687200986879615e6
1.6123452479958034e6,5.374525106779214e6,-6.097473127265334e6
-1.409026575089139e6,7.867564870033331e6,-3.2102797156972103e6
-1.6619650216575486e6,-3.881442822469865e6,2.9453430692053502e6
4.580882403706942e6,-8.1018471642595325e6,-8.546403427100305e6
3.052664853650847e6,-1.9441236197985057e6,6.401726965873722e6
7.599125511756736e6,-1.0368792150959477e6,-481061.9836518354
-705079.822836463,93964.67729581975,9.077401905996298e6
1.3110616851189188e6,6.099018517444451e6,3.306066828633116e6
898442.0308250888,4.664950549477529e6,-4.57926241391994e6
922534.7991744973,136022.31421192686,-7.708217470675694e6
4.212041661210812e6,-5.318168369001054e6,4.696531630988489e6
5.214327726371914e6,1.7597421017852207e6,1.5346651281767718e6
-2.178595596404425e6,2.500353048537029e6,-4.637190417037873e6
2.09740936396099e6,-5.057942466784859e6,-2.8539891954917856e6
-1.2461505700308592e6,-4.695933919827895e6,6.159641102523665e6
-551629.3356981628,-8.166822237693216e6,-5.966410142771991e6
-551215.7231066859,-1.5400806962483984e6,5.224998639250565e6
-3.3453692619107384e6,-1.1176305387212992e7,-1.9413408011509425e6
-951062.733411945,383968.61739531154,-5.145552001890093e6
-2.8804376400201926e6,731636.9049603242,6.209353702707566e6
-3.4147119957193774e6,3.701925710742961e6,-9.952324656637715e6
-2.0579012787342467e6,-8.182064605215505e6,-6.894063413603234e6
-2.4437097073656963e6,-6.749500513405895e6,-920151.8910049575
-8.850514234999772e6,-5.840570266292521e6,-1.2569640348499572e7
9.442173048273347e6,3.5722173559067072e6,-2.0153148143412815e6
-845702.72185463,-4.530181800791091e6,-2.581007150116651e6
-544511.5430486914,488256.1087318705,-8.329020435018176e6
-5.813095726093749e6,1.3269539285791771e7,2.326808386054392e6
-9.992790311383337e6,-8.351684747849578e6,-3.049711870666826e6
-3.771700896346385e6,-6.283036812322061e6,-1.698903230789391e6
6.272087909269086e6,-237762.58463814546,3.847382793386746e6
7.367540851716241e6,2.738141855754146e6,1.3824820820288021e7
-2.9426518968558284e6,-621972.6586507333,-1.0797971439718392e7
2.913678407469771e6,-2.758009503711842e6,-1.6226676368454716e6
1.3942499935495204e6,1.538859115467013e6,-1.1504927563035982e6
581349.8026900231,-3.674668235620194e6,5.374493149857621e6
-3.260775813178301e6,9.479377871431213e6,-5.010827622281218e6
-4.194404937298693e6,-1.6527494254305852e6,3.323916700169222e6
153727.45950096968,-1.5970705814861357e6,922019.828348321
-7.071642276312888e6,3.3358921373989987e6,3.3686264858254544e6
5.426669483220857e6,3.304500511999112e6,6.6357615027804e6
2.491169764580075e6,-7.57666110835034e6,1.1498878983225098e6
1.2696545774826976e7,1.3428254439071221e6,392154.79134648095
-6.346110649373868e6,5.392192773130391e6,3.3297056669629496e6
6.529080507103931e6,4.412502785036934e6,3.987127907989833e6
4.708402805106687e6,5.363014474504949e6,-4.1259316362979803e6
1.3323264902353496e6,3.750859865086724e6,-9.123649371470992e6
-3.3451727171381344e6,-2.2944960374472775e6,4.634276061877867e6
-2.6411831297852285e6,-3.326170304356898e6,9.078733462529946e6
1.1208645628654624e6,-3.7875773684769575e6,-9.019544251038514e6
-1.8330547272712835e6,-3.0676719890400306e6,6.446053829931917e6
4.427411877151546e6,-5.309950094574355e6,3.915501068849686e6
1.8122700413809335e6,2.00669338919947e6,3.22430862091861e6
1.336498684919552e6,-5.500211683087311e6,-597179.2849836309
-6.053708959253629e6,-4.46477063512648e6,-481292.242652211
-1.2451742115264337e6,-2.7874524417116474e6,2.927010568612024e6
9.506484609686095e6,-2.24475257367875e6,-595968.0433835504
4.431969015029516e6,8.595986605306085e6,-7.553609684058361e6
1.8458231117985449e6,-4.5276574916221425e6,53055.173305797114
-1.0231551572554719e6,1.2180580700249705e7,7.05282482921185e6
-3.6187601393436957e6,-3.584413273728347e6,-55328.03867830536
7.309509932505755e6,-1.2235886861306054e6,-6.129005316406587e6
5.563193568528065e6,3.8855387932402706e6,6.093900490214887e6
357684.1181449669,4.780918830854e6,-7.926229985019226e6
-1.1793287410117779e7,-5.632927414914822e6,3.8524461727740816e6
-1.3442106877105604e6,3.523054625375936e6,-1.5419512233239694e6
-5.672165731994337e6,911028.5644746592,-6.152317740285637e6
-2.778714670198801e6,-1.2122553349781302e6,-3.307372586693632e6
-902304.1383224627,1.2121027822107594e6,-5.074115352421516e6
-2.633171600597584e6,-2.9691438804033315e6,-3.091474490535395e6
284962.7012106665,4.912038190644209e6,2.0711349105578917e6
-4.071350977211202e6,2.102433901539346e6,2.5131710872895615e6
-14289.12643450797,-3.9656455406791503e6,1.790062824656988e6
-2.846885000781302e6,4.327340093719302e6,-4.0841760358303986e6
-2.737745204875703e6,7.583074241717907e6,1.4272035782277191e7
3.0959518137156772e6,6.750469668543633e6,-3.2083083048860915e6
-5.428230285647336e6,-1.6863424047875137e6,-9.29903019481295e6
-2.063869210250117e6,-2.619249400265015e6,-2.9509088582314425e6
-295816.8022193313,-7.424425824874666e6,1.4754667865900984e6
2.3093869572776123e6,-5.232357163355606e6,-708545.84989774
-1.9441342200051441e6,-1.8409106946595751e6,4.834441411463779e6
1.1581427873194488e6,-2.8091753054540083e6,-6.676672521754431e6
253334.30000685982,-1.2292181761993278e7,-5.424590431203078e6
-5.871128011847999e6,-7.712816724041905e6,-4.641084450495321e6
5.661234458060771e6,-4.941546328848318e6,9.78470391517144e6
-7.807427681658234e6,3.9066239144161367e6,-5.146074721296313e6
138337.63904052274,-1.2576908498536024e7,1.0004013684206752e6
614284.9702473511,3.8938397052041544e6,3.763365386211575e6
-1.7320251946935353e6,-4.682385736183801e6,-3.2814665715496764e6
-5.13670226047143e6,4.978188814056189e6,-444287.37605992495
3.400254679461743e6,-258974.42149059777,-502946.69524248474
-2.973698015536915e6,-3.6819656388539723e6,-4.885941136386615e6
-552942.5882445626,1.4926472277539652e6,-1.78752661304647e6
6.036696538143286e6,1.3728449060212849e6,4.28608033371467e6
4.1652066508162376e6,-5.658052492777768e6,1.668268694447728e6
-2.105017811568512e6,-1.9058959719890445e6,3.2009607647534134e6
754405.4108311689,6.7708509541231785e6,5.711867962906939e6
87237.7106108386,-4.766840046425516e6,1.280691803162244e6
-1.1262581495494633e6,-1.0547419869912248e7,-4.153566991434253e6
-1.698307794041408e6,-1.1176544233773015e6,-3.596218177844641e6
4.111028237579573e6,1.723767841048709e6,-2.808774842089795e6
-2.2468859472483313e6,-2.3401219989611995e6,-5.721154428563322e6
-202467.4269438479,45327.60749379607,5.256370960364081e6
6.337961855199199e6,506174.63388145,-3.6435294831117955e6
1.6262904491863972e7,-7.4215884068530975e6,-1.6805429245000337e6
346842.3501660401,-602060.5028845412,6.126700505404456e6
-2.7137802600757843e6,784792.6145477755,-2.203432825407167e6
1.602709818827335e6,-5.009392026174323e6,3.3603444445226667e6
-2.740803028849279e6,3.3858571295822365e6,1.4441058445073497e6
2.548299460151739e6,4.636156849340803e6,1.164609910466924e6
-5.855967310984758e6,1.1962367323531738e7,2.2904119914459703e6
250488.50943067452,4.513958369959462e6,-4.526049502648509e6
-1.5124235841138216e6,-3.9635115484850523e6,-128801.73466922993
1.2555129292813672e7,2.9874683940503867e6,8.765617427096004e6
-5.637828545305522e6,-6.791795872529502e6,388655.06047510734
-486297.21791982034,4.0761977602562597e6,8.116725592921732e6
-4.443108054197047e6,799272.9450522072,964560.5166115086
2.137959811723878e6,1.0549097277063401e6,-1.0990544567270637e6
328771.4984128531,2.862526625181117e6,-1.004697557156956e7
-4.077188501553536e6,40962.84570893233,-3.7818643458525613e6
-58838.11944136477,-6.876079365962386e6,252694.06761901997
-2.0077888799451287e6,2.574376842433192e6,-1.0990722757187951e6
3.0774383531019012e6,2.9212958854347114e6,-1.1702309349275935e6
5.014682221996798e6,7.088482593751002e6,4.3218670816437835e6
9.196858455845103e6,-2.8268493735236116e6,-1.0017489606167643e6
-1.0660993146732643e6,4.091574740208017e6,-1.5346146301051083e6
371850.7789369366,-58051.294750878,-5.345328841596293e6
7.981307226379454e6,2.7739061060638186e6,-3.8854653314180025e6
899573.802400614,2.890509989241962e6,-1.040380860051174e6
-3.7474276320103407e6,3.113692696524626e6,3.5486615064098504e6
-5.89153350653092e6,-4.060963322514881e6,7.914880084737857e6
1.415332598543133e7,-4.0251167158084046e6,6.790361014623003e6
-2.256121048865877e6,6.063700817559635e6,-4.022465247884801e6
-2.915089483549346e6,9.030250362965245e6,3.8860753073825836e6
2.967355922404262e6,7.133982869607002e6,-7.490466011891843e6
-6.735925948426332e6,4.0744523279057043e6,-2.7164826221298794e6
-2.789178450840263e6,245782.0682765453,-1.058136040274514e7
-2.3215675516769583e6,3.1034976770087276e6,-2.5229973173870165e6
-2.443368166427617e6,1.6824577830860296e6,188082.60987449245
-8.212279538279538e6,-3.529125264214516e6,-1.822225922649633e6
-4.642945112700696e6,2.804615339322088e6,-8.15030272908404e6
995826.4471566139,2.573613199051538e6,-2.777632086757417e6
3.2318957339896164e6,6.970634610869762e6,7.411740804257061e6
-91287.89399642161,-2.9694228301014774e6,2.0494758850630114e6
-1.194884795738936e6,-390839.4813546587,3.9130767335414835e6
-1.6835248373478611e6,-1.1500367800594602e7,2.544717999657225e6
-3.8486889951005247e6,-4.698155328198832e6,4.211671483916093e6
-657772.168328042,2.414368001442364e6,-1.4385191020509799e6
-7.758523077799271e6,-294940.3821647549,776374.5804843848
-1.3316467799167368e6,-4.815955293529482e6,-7.454380137194395e6
-1.120243123071736e6,-3.9775379587858124e6,646849.4957534604
-1.7200166404964593e6,2.1886106106079915e6,461034.8727014027
-986633.2025050671,2.7812661783306953e6,5.802116353989944e6
1.3175754018296571e6,3.634550280071677e6,640304.6329937602
-5.865232100812016e6,3.852043409255255e6,-938965.0973220848
-7.07838309877336e6,-952472.5256197744,2.1338891269405065e6
2.09403007270694e6,-1.4811094310797171e6,6.832473061172626e6
1.1381998037066277e7,-3.221262344550006e6,-3.0184460510041313e6
3.7784686374661806e6,-8.243931532688105e6,8.417499937858049e6
3.717250920905817e6,451841.5357111827,-5.327932409577555e6
1.1098473590849636e7,2.511177443684074e6,-5.632850711319289e6
-4.768664887616085e6,-2.27639318707063e6,4.824235034649565e6
5.479001281593891e6,-1.8962253115766624e6,1.9957846155797301e6
-6.038752606765227e6,5.510947275772614e6,695250.3677118918
-7.668419507628531e6,-8.549861603569862e6,670817.4849164501
4.6401692873701565e6,-5.964195037678489e6,5.942104924208739e6
1.976704193284957e6,-6906.740853962033,2.1063875066999104e6
-2.881289950222488e6,-2.532636603932337e6,1.0195447419290029e6
-7.318868408297491e6,124437.13147553374,5.418071509209302e6
3.2718061367264497e6,3.155752402235848e6,9.199029393861743e6
-779899.4028113773,3.6828438069889764e6,1.3206848297501508e7
-2.550489333617355e6,-6.835129851475995e6,2.9889574593668706e6
4.641954543299823e6,5.979338961824941e6,-4.306385022023339e6
-4.907969197704377e6,-2.834541517847897e6,-7.618200068066806e6
5.517273767152566e6,-2.671221025349466e6,3.523254105170056e6
5.284685565610817e6,-60623.843953892116,-2.2053281999882623e6
2.4826526629013475e6,-4.0313516347332858e6,-4.860906325331597e6
257381.48383471637,212743.59674342853,2.2393236388366967e6
-3.694798057594191e6,6.023736136745283e6,4.365766810719721e6
6.43958724054887e6,1.0221259872379267e6,-286723.6032561614
-6.50577983440831e6,-1.2762715549980106e6,-1.240927542156553e7
-3.5312910664199763e6,-4.7552932277747225e6,2.747734306399923e6
4.971219170473035e6,4.682254847069814e6,-9.881775472623093e6
6.109969914089712e6,9.799704981815804e6,3.697541841281759e6
5.401974754814129e6,513072.01087812096,454137.694514603
-3.5929537295249454e6,7.161842581052844e6,4.029906194287709e6
4.110692417886767e6,7.861806983897086e6,2.679714193609437e6
2.754828980375298e6,5.827167186683107e6,1.1726562112408136e6
-5.433448179196063e6,-3.5386064407751723e6,3.1236529477254893e6
-3.2044869851338053e6,2.0144097687429881e6,-3.5424956623014654e6
-1.2457977665947542e7,1.1167473767243582e6,-274642.7161873846
454191.3883115059,-173334.56844713155,-2.3976805078417766e6
-4.3063187121664155e6,-6.756411883179254e6,1.5815159409987316e6
233147.25809277245,-8.426816680376373e6,1.7308915315650625e6
-2.9953348787583834e6,-1.045316279130536e7,-6.154255998919375e6
-4.1704911666296283e6,-449479.55088957626,6.46788632227804e6
8.186515952041457e6,967616.88954488,-4.806028222210212e6
1.7785530597199386e6,-3.364734093020072e6,3.0629413906393927e6
-6.122067676319325e6,-3.2018726393567086e6,-1.4330630899114383e6
-2.212152669611937e6,-5.8202614829990165e6,-256795.3070853465
-84227.26709996875,-7.6620516025044685e6,-746635.2767458817
241871.09959420993,-3.664656696064127e6,3.8806247985741165e6
-2.0285082274916274e6,-301772.4548003729,4.029450586050033e6
-3.6898853354729577e6,-2.397254179490114e6,612413.9235307561
1.1587063368890285e6,1.905730059737098e6,-1.3956841787616925e6
-3.660023819747163e6,9.068197602549732e6,-2.6738802331610876e6
2.601468981519081e6,-5.147601487955783e6,-1.4117020361481784e6
-4.424877273516701e6,-1.8696796326279144e6,1.1803745832135451e6
-667731.5293394898,-5.477747347895636e6,-4.119462189291467e6
5.10711643616224e6,-7.200832600115438e6,8.185858691877568e6
1.2687227245789496e6,136634.79058906916,-1.741457987930574e6
7.612047243361515e6,1.8544871899952565e6,-5.346099045227856e6
-1.8204595618174805e6,742264.1775809822,-9.6752780942077e6
1.1338712927139136e6,-2.1241491735839406e6,-414476.51224142726
-4.0080266384713864e6,-5.219043404624794e6,-4.757250727247463e6
4.589442947444705e6,7.113815608284463e6,2.7062336960244775e6
1.4738404531390625e6,-4.446139058529382e6,-3.601672326970758e6
1.5130692848943237e6,-1.1542313535796352e7,921525.1633977977
-9.015760041551875e6,4.286234976605188e6,5.957433415626228e6
-3.919282891704853e6,3.920458589546652e6,955983.0770964007
208986.2782917605,-436443.6706181494,-1.3324893859879042e6
-2.31337801259848e6,285232.5227219078,9.307533584650315e6
4.1674558305255305e6,-5.623836987372463e6,-1.128836683031666e6
